Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019)
04/05/2020,34,PERSHING SCHOOL,17-197-1002,AQS,111,29,46.8
04/06/2020,56,PERSHING SCHOOL,17-197-1002,AQS,119,20,55.6
04/07/2020,62,COM ED MAINTENANCE BLDG,17-031-0076,AQS,101,23,43.4
04/08/2020,62,COM ED MAINTENANCE BLDG,17-031-0076,AQS,86,25,47.4
04/09/2020,45,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,18-089-0022,AQS,93,23,47.6
04/10/2020,35,Kingery Near Road #1,17-031-0119,AQS,108,34,43.4
04/11/2020,55,Kingery Near Road #1,17-031-0119,AQS,76,28,47.4
04/12/2020,49,LIBERTY SCHOOL,17-031-6005,AQS,79,22,44.6
04/13/2020,31,LIBERTY SCHOOL,17-031-6005,AQS,80,30,44.8
04/14/2020,34,LIBERTY SCHOOL,17-031-6005,AQS,84,28,39.8
04/15/2020,38,East Chicago-Marina,18-089-0034,AQS,151,20,51.2
04/16/2020,40,East Chicago-Marina,18-089-0034,AQS,74,28,46.4
04/17/2020,56,Kingery Near Road #1,17-031-0119,AQS,88,28,51.6
04/18/2020,60,IEPA TRAILER,17-031-3103,AQS,117,28,52.4
04/19/2020,39,LIBERTY SCHOOL,17-031-6005,AQS,131,25,41.2
04/20/2020,43,Kingery Near Road #1,17-031-0119,AQS,217,31,78.6
04/21/2020,40,VILLAGE GARAGE,17-031-0001,AQS,156,26,45.4
04/22/2020,54,VILLAGE GARAGE,17-031-0001,AQS,96,28,43.2
04/23/2020,72,SPRINGFIELD PUMP STATION,17-031-0057,AQS,74,31,51
04/24/2020,78,COM ED TRAINING CENTER,17-197-1011,AQS,92,40,56
04/25/2020,59,Kingery Near Road #1,17-031-0119,AQS,86,22,49.2
04/26/2020,46,PERSHING SCHOOL,17-197-1002,AQS,69,25,42.8
04/27/2020,65,GRAVES ES,17-031-3301,AQS,76,28,37
04/28/2020,63,SPRINGFIELD PUMP STATION,17-031-0057,AQS,86,32,43.8
04/29/2020,40,LIBERTY SCHOOL,17-031-6005,AQS,74,29,43.2
04/30/2020,35,GRAVES ES,17-031-3301,AQS,77,40,56.6
05/01/2020,49,LIBERTY SCHOOL,17-031-6005,AQS,89,30,45.2
05/02/2020,57,COM ED MAINTENANCE BLDG,17-031-0076,AQS,82,23,42.8
05/03/2020,43,COM ED MAINTENANCE BLDG,17-031-0076,AQS,80,28,45
05/04/2020,28,East Chicago-Marina,18-089-0034,AQS,73,28,48.2
05/05/2020,30,COM ED MAINTENANCE BLDG,17-031-0076,AQS,71,28,47.4
05/06/2020,54,VILLAGE HALL,17-031-1016,AQS,89,25,52.8
05/07/2020,36,PERSHING SCHOOL,17-197-1002,AQS,80,25,41
05/08/2020,28,East Chicago-Marina,18-089-0034,AQS,80,23,44.4
05/09/2020,41,GRAVES ES,17-031-3301,AQS,85,33,52.4
05/10/2020,30,COM ED MAINTENANCE BLDG,17-031-0076,AQS,85,28,47.6
05/11/2020,35,COM ED MAINTENANCE BLDG,17-031-0076,AQS,102,18,45.8
05/12/2020,44,LIBERTY SCHOOL,17-031-6005,AQS,91,20,48.4
05/13/2020,52,LIBERTY SCHOOL,17-031-6005,AQS,77,26,43.8
05/14/2020,68,LIBERTY SCHOOL,17-031-6005,AQS,67,31,45.6
05/15/2020,62,LIBERTY SCHOOL,17-031-6005,AQS,66,26,50.6
05/16/2020,58,LIBERTY SCHOOL,17-031-6005,AQS,91,30,52.8
05/17/2020,61,LIBERTY SCHOOL,17-031-6005,AQS,114,30,50.6
05/18/2020,62,LIBERTY SCHOOL,17-031-6005,AQS,77,27,47.2
05/19/2020,58,LIBERTY SCHOOL,17-031-6005,AQS,109,37,49.8
05/20/2020,56,LIBERTY SCHOOL,17-031-6005,AQS,74,27,38.8
05/21/2020,56,LIBERTY SCHOOL,17-031-6005,AQS,87,24,48.2
05/22/2020,64,COM ED MAINTENANCE BLDG,17-031-0076,AQS,99,25,49.6
05/23/2020,59,LIBERTY SCHOOL,17-031-6005,AQS,99,24,47.2
05/24/2020,89,MCKINLEY SCHOOL,17-089-0003,AQS,128,36,58.2
05/25/2020,57,LIBERTY SCHOOL,17-031-6005,AQS,133,41,50.4
05/26/2020,60,LIBERTY SCHOOL,17-031-6005,AQS,93,38,52.6
05/27/2020,76,CARY GROVE HS,17-111-0001,AQS,91,39,52.4
05/28/2020,47,LIBERTY SCHOOL,17-031-6005,AQS,95,23,56.2
05/29/2020,40,REGIONAL OFFICE BUILDING,17-031-4007,AQS,105,40,55
05/30/2020,35,GRAVES ES,17-031-3301,AQS,145,27,44.4
05/31/2020,35,PERSHING SCHOOL,17-197-1002,AQS,87,23,41.6
06/01/2020,35,Kingery Near Road #1,17-031-0119,AQS,83,28,50.4
06/02/2020,65,IEPA TRAILER,17-031-3103,AQS,81,37,47.2
06/03/2020,43,COM ED MAINTENANCE BLDG,17-031-0076,AQS,98,30,52.4
06/04/2020,54,COM ED MAINTENANCE BLDG,17-031-0076,AQS,115,33,71.2
06/05/2020,64,IEPA TRAILER,17-031-3103,AQS,105,32,46.2
06/06/2020,51,SPRINGFIELD PUMP STATION,17-031-0057,AQS,107,36,47.6
06/07/2020,40,PERSHING SCHOOL,17-197-1002,AQS,105,28,58
06/08/2020,51,Kingery Near Road #1,17-031-0119,AQS,80,36,52.4
06/09/2020,47,COM ED MAINTENANCE BLDG,17-031-0076,AQS,91,26,59.4
06/10/2020,54,Kingery Near Road #1,17-031-0119,AQS,79,40,61.2
06/11/2020,39,Kingery Near Road #1,17-031-0119,AQS,84,27,63
06/12/2020,39,Kingery Near Road #1,17-031-0119,AQS,81,28,54.8
06/13/2020,40,PERSHING SCHOOL,17-197-1002,AQS,105,39,54.4
06/14/2020,36,Kingery Near Road #1,17-031-0119,AQS,91,32,53
06/15/2020,42,CITY HALL,17-043-4002,AQS,82,38,58.6
06/16/2020,56,VILLAGE GARAGE,17-031-0001,AQS,108,34,50.6
06/17/2020,61,Kingery Near Road #1,17-031-0119,AQS,117,26,59.8
06/18/2020,63,Kingery Near Road #1,17-031-0119,AQS,85,28,55.6
06/19/2020,76,Kingery Near Road #1,17-031-0119,AQS,94,21,52.2
06/20/2020,75,COM ED MAINTENANCE BLDG,17-031-0076,AQS,97,34,53.6
06/21/2020,55,COM ED MAINTENANCE BLDG,17-031-0076,AQS,119,31,50
06/22/2020,53,SPRINGFIELD PUMP STATION,17-031-0057,AQS,121,44,57.6
